scenario,seed,S,T0,N,max.followup.time,dropout.rate,sigma.e,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
108,58945,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
109,643643,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
110,89149,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
111,730871,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
112,118737,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
113,875208,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
114,318794,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
115,940619,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
116,445961,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
117,886285,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
118,897322,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
119,827596,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
120,925715,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
121,749933,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
122,705185,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
123,366296,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
124,583478,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
125,845850,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
126,628413,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
127,749731,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
